	id	arquivo	nome	ano	km	cor	cambio	portas	preco
608	722	./dados/dados_carro\Carro-1836.html	Hyundai HB20 1.0 Comfort 2018	2017 / 2018	54.0	Prata	manual		38.900,00
609	723	./dados/dados_carro\Carro-1838.html	Hyundai HB20 1.0 Comfort 2018	2018 / 2018	33.0	Preto	manual	4.0	39.900,00
610	724	./dados/dados_carro\Carro-184.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2019 / 2020	7.0	Branco	automático		73.900,00
611	726	./dados/dados_carro\Carro-1841.html	Hyundai HB20 1.0 T-GDI Sport (Aut) 2020	2020 / 2020	0.0	Prata	automático	4.0	70.990,00
612	727	./dados/dados_carro\Carro-1842.html	Hyundai HB20 1.6 Launch Edition (Aut) 2020	2019 / 2020	0.0	automático			71.940,00
613	728	./dados/dados_carro\Carro-1843.html	Hyundai HB20 1.6 Launch Edition (Aut) 2020	2019 / 2020	0.0	automático			71.940,00
614	729	./dados/dados_carro\Carro-1844.html	Hyundai HB20 1.0 T-GDI Diamond (Aut) 2020	2019 / 2020	0.0	automático			73.590,00
615	730	./dados/dados_carro\Carro-1846.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2019 / 2020	0.0	Vermelho	automático	4.0	73.990,00
616	732	./dados/dados_carro\Carro-1848.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2019 / 2020	0.0	Prata	automático	4.0	74.540,00
617	734	./dados/dados_carro\Carro-185.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2020 / 2020	0.0	Azul	automático		73.900,00
618	736	./dados/dados_carro\Carro-1851.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2020 / 2020	0.0	Branco	automático		75.990,00
619	737	./dados/dados_carro\Carro-1852.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2020 / 2020	0.0	Branco	automático	4.0	77.990,00
620	738	./dados/dados_carro\Carro-1854.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2019 / 2020	0.0	Branco	automático	4.0	77.990,00
621	740	./dados/dados_carro\Carro-1856.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2019 / 2020	0.0	Prata	automático	4.0	77.990,00
622	742	./dados/dados_carro\Carro-1858.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2019 / 2020	0.0	Vermelho	automático	4.0	79.990,00
623	743	./dados/dados_carro\Carro-1859.html	Hyundai HB20 1.0 T-GDI Diamond Plus (Aut) 2020	2020 / 2020	0.0	Prata	automático	4.0	75.990,00
624	744	./dados/dados_carro\Carro-186.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2019 / 2020	4.488	Preto	automático	4.0	73.990,00
625	745	./dados/dados_carro\Carro-1860.html	Hyundai HB20 1.0 Comfort 2018	2017 / 2018	58.0	Cinza	manual	5.0	41.800,00
626	746	./dados/dados_carro\Carro-1861.html	Hyundai HB20 1.0 Comfort 2018	2017 / 2018	68.0	Prata	manual	5.0	41.900,00
627	747	./dados/dados_carro\Carro-1862.html	Hyundai HB20 1.0 Comfort Plus 2018	2017 / 2018	101.0	Branco	manual	4.0	41.900,00
628	748	./dados/dados_carro\Carro-1863.html	Hyundai HB20 1.0 Comfort 2018	2017 / 2018	57.0	Azul	manual	5.0	41.900,00
629	749	./dados/dados_carro\Carro-1865.html	Hyundai HB20 1.0 Comfort 2018	2018 / 2018	72.8	Preto	manual	5.0	41.990,00
630	750	./dados/dados_carro\Carro-1867.html	Hyundai HB20 1.6 Comfort Plus 2018	2018 / 2018	35.0	Cinza	manual	4.0	45.900,00
631	751	./dados/dados_carro\Carro-1868.html	Hyundai HB20 1.6 Comfort Plus (Aut) 2018	2017 / 2018	30.6	Branco	automático		45.900,00
632	752	./dados/dados_carro\Carro-1869.html	Hyundai HB20 1.6 Premium (Aut) 2018	2018 / 2018	25.2	Branco	automático	4.0	57.500,00
633	753	./dados/dados_carro\Carro-187.html	Chevrolet Onix 1.0 Turbo LTZ (Aut) 2020	2020 / 2020	0.0	Branco	automático	4.0	74.390,00
