	arquivo	nome	ano	km	cor	cambio	portas	preco
1482	./dados/dados_carro\Carro-473.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.104 	Branco	manual	4.0	46.900,00
1483	./dados/dados_carro\Carro-474.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	41.050 	Branco	manual	4.0	46.900,00
1484	./dados/dados_carro\Carro-475.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	39.729 	Branco	manual	4.0	46.900,00
1485	./dados/dados_carro\Carro-476.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	13.771 	Branco	manual	4.0	46.900,00
1486	./dados/dados_carro\Carro-477.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	13.980 	Branco	manual	4.0	46.900,00
1487	./dados/dados_carro\Carro-479.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	28.972 	Branco	manual	4.0	46.900,00
1488	./dados/dados_carro\Carro-48.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Branco	manual	5.0	53.870,00
1489	./dados/dados_carro\Carro-480.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	43.196 	Branco	manual	5.0	46.900,00
1490	./dados/dados_carro\Carro-482.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	31.853 	Branco	manual	4.0	46.900,00
1491	./dados/dados_carro\Carro-483.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	21.643 	Branco	manual	4.0	46.900,00
1492	./dados/dados_carro\Carro-485.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	32.013 	Branco	manual	4.0	46.900,00
1493	./dados/dados_carro\Carro-486.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	48.233 	Prata	manual		46.900,00
1494	./dados/dados_carro\Carro-487.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	35.982 	Preto	manual		46.900,00
1495	./dados/dados_carro\Carro-488.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	41.640 	Cinza	manual		46.900,00
1496	./dados/dados_carro\Carro-489.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	48.036 	Prata	manual		46.900,00
1497	./dados/dados_carro\Carro-49.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Preto	manual	5.0	53.950,00
1498	./dados/dados_carro\Carro-490.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	22.587 	Branco	manual	4.0	46.900,00
1499	./dados/dados_carro\Carro-492.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	99.999 	Branco	manual	4.0	46.913,00
1500	./dados/dados_carro\Carro-493.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	22.434 	Branco	manual	4.0	46.970,00
1501	./dados/dados_carro\Carro-494.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	22.242 	Branco	manual	4.0	46.970,00
1502	./dados/dados_carro\Carro-495.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	11.000 	Branco	manual	4.0	46.973,00
1503	./dados/dados_carro\Carro-496.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	22.010 	Preto	manual	5.0	46.990,00
1504	./dados/dados_carro\Carro-498.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	9.260 	Branco	manual	4.0	46.990,00
1505	./dados/dados_carro\Carro-499.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	40.580 	Preto	manual	4.0	46.990,00
1506	./dados/dados_carro\Carro-5.html	Chevrolet Onix 1.0 (Flex) 2020	2019 / 2020	41.000 	Cinza	manual	4.0	42.900,00
1507	./dados/dados_carro\Carro-50.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Preto	manual	5.0	53.960,00
1508	./dados/dados_carro\Carro-500.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	0	Preto	manual	5.0	46.990,00
1509	./dados/dados_carro\Carro-501.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	49.784 	Branco	manual	4.0	46.990,00
1510	./dados/dados_carro\Carro-502.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	44.629 	Branco	manual	4.0	46.990,00
1511	./dados/dados_carro\Carro-503.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	43.000 	Preto	manual	4.0	46.990,00
1512	./dados/dados_carro\Carro-504.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	0	Preto	manual	4.0	46.990,00
1513	./dados/dados_carro\Carro-506.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	21.447 	Branco	manual	4.0	47.010,00
