	nome	ano	km	cor	cambio	portas	preco	flex
163	Ford Ka 1.0 Freestyle 	2021	0.0	Branco	manual	5.0	61290.0	0.0
164	Ford Ka 1.5 Freestyle 	2021	0.0	Branco	automático	4.0	66990.0	0.0
165	Ford Ka 1.5 Freestyle 	2021	0.0	Não informada.	automático		68490.0	0.0
166	Ford Ka 1.0 S 	2020	0.0	Preto	manual		31492.0	0.0
167	Ford Ka 1.0 S 	2020	0.0	Várias cores	manual	4.0	31492.0	0.0
168	Ford Ka 1.0 S 	2020	0.0	Vermelho	manual		31492.0	0.0
169	Ford Ka 1.0 S 	2020	0.0	Várias cores	manual		31492.0	0.0
170	Ford Ka 1.0 S 	2020	0.0	Branco	manual		31492.0	0.0
171	Ford Ka 1.0 S 	2020	0.0	Vermelho	manual		31492.0	0.0
172	Ford Ka 1.0 S 	2020	0.0	Vinho	manual	5.0	31492.0	0.0
173	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Branco	manual	4.0	67290.0	0.0
174	Ford Ka 1.0 S 	2020	0.0	Várias cores	manual		31494.0	0.0
175	Ford Ka 1.0 S 	2020	0.0	Branco	manual	4.0	34930.0	0.0
176	Ford Ka 1.0 S 	2020	0.0	Várias cores	manual		32068.0	0.0
177	Ford Ka 1.0 S 	2020	0.0	Várias cores	manual		32068.0	0.0
178	Ford Ka 1.0 S 	2020	0.0	Várias cores	manual	5.0	32122.0	0.0
179	Chevrolet Onix 1.0 Turbo LTZ 	2020	0.0	Laranja	automático	5.0	67390.0	0.0
180	Ford Ka 1.0 S 	2020	0.0	Vermelho	manual	5.0	32122.0	0.0
181	Ford Ka 1.0 S 	2020	0.0	Vermelho	manual		32498.0	0.0
182	Ford Ka 1.0 S 	2020	0.0	Várias cores	manual		32499.0	0.0
183	Ford Ka 1.0 SE 	2020	0.0	Prata	manual		32800.0	0.0
184	Ford Ka 1.0 SE 	2020	0.0	Preto	manual		32899.0	0.0
185	Ford Ka 1.0 SE 	2020	0.0	Marrom	manual		32899.0	0.0
186	Ford Ka 1.0 SE 	2020	0.0	Prata	manual		32899.0	0.0
187	Chevrolet Onix 1.0 Turbo LTZ 	2020	0.0	Laranja	automático	5.0	67390.0	0.0
188	Ford Ka 1.0 SE 	2020	0.0	Branco	manual		32899.0	0.0
189	Ford Ka 1.0 SE 	2020	0.0	Vermelho	manual	4.0	33099.0	0.0
190	Ford Ka 1.0 SE 	2020	0.0	Várias cores	manual	4.0	33328.0	0.0
191	Ford Ka 1.0 SE 	2020	0.0	Várias cores	manual		33328.0	0.0
192	Ford Ka 1.0 S 	2020	0.0	Preto	manual	4.0	33675.0	0.0
193	Ford Ka 1.0 SE 	2020	0.0	Prata	manual	5.0	33790.0	0.0
194	Ford Ka 1.0 SE 	2020	0.0	Várias cores	manual		33800.0	0.0
195	Ford Ka Sedan SE 1.0 	2020	0.0	Branco	manual	4.0	35599.0	1.0
196	Ford Ka Sedan SE 1.0 	2020	0.0	Preto	manual		35599.0	1.0
197	Ford Ka Sedan SE 1.0 	2020	0.0	Preto	manual		35600.0	1.0
198	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Preto	automático	5.0	67890.0	0.0
199	Ford Ka Sedan SE 1.0 	2020	0.0	Preto	manual	4.0	36330.0	1.0
200	Ford Ka 1.0 S 	2020	0.0	Várias cores	manual	4.0	37500.0	0.0
201	Ford Ka 1.0 SE 	2020	39.0	Branco	manual	4.0	37990.0	0.0
202	Ford Ka 1.0 SE 	2020	51.423	Branco	manual	4.0	37990.0	0.0
203	Ford Ka 1.0 SE 	2020	38.469	Branco	manual	4.0	37990.0	0.0
204	Ford Ka 1.0 SE 	2020	9.2	Preto	manual	4.0	38899.0	0.0
205	Ford Ka 1.0 SE 	2020	58.254	Branco	manual	4.0	38900.0	0.0
206	Ford Ka 1.0 SE 	2020	0.0	Branco	manual	5.0	39100.0	0.0
207	Ford Ka 1.0 SE 	2020	41.291	Cinza	manual	4.0	39500.0	0.0
208	Ford Ka 1.0 SE 	2020	16.0	Prata	manual	4.0	38790.0	0.0
209	Chevrolet Onix 1.0 Turbo LTZ 	2020	245.0	Branco	automático	4.0	67900.0	0.0
210	Ford Ka 1.0 SE 	2020	0.0	Vermelho	manual	5.0	39800.0	0.0
211	Ford Ka 1.0 SE 	2020	57.514	Branco	manual	4.0	39900.0	0.0
212	Ford Ka 1.0 SE 	2020	40.0	Branco	manual	4.0	40900.0	0.0
213	Ford Ka 1.0 SE 	2020	0.0	Preto	manual	4.0	39920.0	0.0
214	Ford Ka 1.0 SE 	2020	0.0	Branco	manual	5.0	39990.0	0.0
215	Ford Ka 1.0 SE 	2020	21.425	Branco	manual	4.0	40000.0	0.0
216	Ford Ka 1.5 SE Plus 	2020	0.0	Não informada.	automático	4.0	40499.0	0.0
217	Ford Ka 1.0 SE 	2020	37.0	Prata	manual	5.0	40500.0	0.0
218	Ford Ka 1.5 SE Plus 	2020	0.0	Várias cores	manual	5.0	40500.0	0.0
219	Chevrolet Onix 1.0 Joy SPE/4 	2019	56.0	Branco	manual	5.0	32990.0	0.0
220	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Preto	automático		67980.0	0.0
221	Ford Ka 1.0 SE 	2020	43.928	Branco	manual	4.0	40500.0	0.0
222	Ford Ka 1.0 SE 	2020	41.237	Cinza	manual	4.0	40900.0	0.0
223	Ford Ka 1.5 SE Plus 	2020	0.0	Várias cores	automático	5.0	40900.0	0.0
224	Ford Ka 1.0 SE 	2020	41.387	Branco	manual	4.0	40900.0	0.0
225	Ford Ka 1.0 SE 	2020	42.8	Branco	manual	4.0	40990.0	0.0
226	Ford Ka 1.0 SE Plus 	2020	0.0	Várias cores	manual		41900.0	0.0
227	Ford Ka 1.0 SE 	2020	40.868	Prata	manual	4.0	41900.0	0.0
228	Chevrolet Onix 1.0 	2020	0.0	Preto	automático	5.0	67990.0	1.0
229	Ford Ka 1.0 S 	2020	0.0	Preto	manual	4.0	41990.0	0.0
230	Ford Ka 1.0 SE 	2020	20.05	Preto	manual	5.0	41990.0	0.0
231	Ford Ka 1.0 SE 	2020	19.985	Branco	manual	5.0	42800.0	0.0
232	Chevrolet Onix 1.0 Turbo Premier 	2020	2.4	Vermelho	automático	5.0	68500.0	0.0
233	Ford Ka 1.0 S 	2020	5.988	Branco	manual	5.0	42900.0	0.0
234	Ford Ka 1.0 SE 	2020	99.999	Vermelho	manual	4.0	42913.0	0.0
235	Ford Ka 1.0 S 	2020	0.0	Preto	manual	4.0	42920.0	0.0
236	Ford Ka 1.0 S 	2020	0.0	Branco	manual	4.0	42920.0	0.0
237	Ford Ka 1.0 S 	2020	0.0	Preto	manual		42990.0	0.0
238	Ford Ka 1.0 S 	2020	0.0	Preto	manual		42990.0	0.0
239	Ford Ka Sedan SE 1.0 	2020	40.634	Prata	manual	4.0	42990.0	1.0
240	Chevrolet Onix 1.0 Turbo LTZ 	2020	0.0	Branco	automático	5.0	62890.0	0.0
241	Ford Ka 1.0 SE 	2020	0.0	Várias cores	manual		43500.0	0.0
242	Ford Ka Sedan SE 1.0 	2020	42.84	Branco	manual	4.0	43690.0	1.0
243	Ford Ka 1.0 SE 	2020	13.0	Cinza	manual	5.0	43900.0	0.0
244	Ford Ka Sedan SE 1.0 	2020	43.074	Branco	manual	4.0	43900.0	1.0
245	Ford Ka 1.0 SE 	2020	46.21100000000001	Prata	manual	4.0	43900.0	0.0
246	Ford Ka Sedan SE 1.0 	2020	40.457	Cinza	manual	4.0	43900.0	1.0
247	Chevrolet Onix 1.0 Turbo Premier 	2020	0.0	Preto	automático	4.0	68900.0	0.0
248	Ford Ka 1.0 SE Plus 	2020	11.5	Prata	manual	4.0	43900.0	0.0
249	Ford Ka Sedan SE 1.0 	2020	42.664	Branco	manual	4.0	43900.0	1.0
250	Ford Ka 1.0 SE 	2020	40.181	Branco	manual	4.0	43990.0	0.0
251	Ford Ka 1.0 S 	2020	0.0	Branco	manual	4.0	43990.0	0.0
252	Ford Ka 1.0 SE 	2020	0.0	Vermelho	manual	5.0	43990.0	0.0
253	Ford Ka 1.0 SE 	2020	8.0	Branco	manual	5.0	43990.0	0.0
254	Ford Ka 1.0 SE 	2020	41.992	Preto	manual	4.0	43990.0	0.0
255	Chevrolet Onix 1.0 Turbo Premier 	2020	0.0	Azul	automático	5.0	68900.0	0.0
256	Ford Ka 1.0 SE 	2020	0.0	Prata	manual	4.0	44290.0	0.0
257	Ford Ka 1.0 SE 	2020	100.0	Vermelho	manual	4.0	44490.0	0.0
258	Ford Ka 1.0 SE Plus 	2020	32.09	Preto	manual	4.0	44500.0	0.0
259	Ford Ka 1.0 SE Plus 	2020	30.8	Branco	manual	4.0	44900.0	0.0
260	Ford Ka Sedan SE 1.0 	2020	43.902	Cinza	manual	4.0	44900.0	1.0
261	Ford Ka Sedan SE 1.0 	2020	41.12300000000001	Prata	manual	4.0	44900.0	1.0
262	Chevrolet Onix 1.0 Turbo Premier 	2020	14.0	Branco	automático	4.0	69990.0	0.0
263	Ford Ka 1.0 SE Plus 	2020	41.0	Vermelho	manual	4.0	44900.0	0.0
264	Ford Ka 1.0 SE 	2020	0.0	Cinza	manual		44990.0	0.0
265	Ford Ka 1.0 SE 	2020	0.0	Preto	manual		44990.0	0.0
266	Ford Ka 1.0 SE 	2020	0.0	Prata	manual	4.0	44990.0	0.0
267	Ford Ka 1.0 SE 	2020	0.0	Cinza	manual		44990.0	0.0
268	Ford Ka Sedan SE 1.0 	2020	31.6	Cinza	manual	4.0	44990.0	1.0
269	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Vermelho	automático	4.0	68990.0	0.0
270	Ford Ka 1.0 S 	2020	0.0	Branco	manual	4.0	44990.0	0.0
271	Ford Ka Sedan SE 1.0 	2020	37.0	Preto	manual	4.0	44990.0	1.0
272	Ford Ka 1.0 SE 	2020	0.0	Vermelho	manual	5.0	45700.0	0.0
273	Ford Ka 1.0 SE 	2020	41.625	Branco	manual	4.0	45710.0	0.0
274	Ford Ka 1.0 SE 	2020	40.729	Prata	manual	4.0	45710.0	0.0
275	Ford Ka Sedan SE 1.0 	2020	40.596	Branco	manual	4.0	45710.0	1.0
276	Ford Ka Sedan SE 1.0 	2020	40.395	Cinza	manual	4.0	45710.0	1.0
277	Ford Ka 1.0 SE 	2020	0.0	Prata	manual	4.0	45890.0	0.0
278	Ford Ka 1.0 SE 	2020	10.04	Preto	manual	4.0	45900.0	0.0
279	Ford Ka Sedan SE 1.0 	2020	0.0	Preto	manual	4.0	45900.0	1.0
280	Ford Ka 1.0 SE 	2020	0.0	Branco	manual	4.0	45900.0	0.0
281	Ford Ka 1.0 SE Plus 	2020	0.0	Branco	manual	4.0	45900.0	0.0
282	Chevrolet Onix 1.0 Turbo LTZ 	2020	0.0	Preto	automático	5.0	69490.0	0.0
283	Ford Ka 1.0 SE 	2020	12.0	Preto	manual	5.0	45900.0	0.0
284	Ford Ka 1.0 SE 	2020	0.0	Várias cores	manual	4.0	45990.0	0.0
285	Ford Ka 1.0 S 	2020	0.0	Preto	manual	4.0	45990.0	0.0
286	Ford Ka 1.0 SE 	2020	0.0	Preto	manual	5.0	45990.0	0.0
287	Ford Ka 1.0 SE 	2020	0.0	Vermelho	manual	5.0	45990.0	0.0
288	Ford Ka 1.0 SE 	2020	0.0	Branco	manual	5.0	45990.0	0.0
289	Chevrolet Onix 1.0 LT SPE/4 	2019	35.25	Preto	manual	4.0	34320.0	0.0
290	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Vermelho	automático	5.0	69490.0	0.0
291	Ford Ka 1.0 SE 	2020	0.0	Cinza	manual	4.0	45990.0	0.0
292	Ford Ka Sedan SE 1.0 	2020	0.0	Prata	manual	4.0	45999.0	1.0
293	Ford Ka 1.5 SE Plus 	2020	0.0	Branco	automático	5.0	46183.0	0.0
294	Ford Ka Sedan SE 1.0 	2020	12.578	Branco	manual	4.0	46590.0	1.0
295	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Branco	automático		69590.0	0.0
